title,artist,upbeat,lyrical,late_night,sad,workout,romantic,chill,reflective,energetic,trap_drill,pop,rnb,dancehall_jamaican,kpop,indie_alt
Sky,d4vd,20,10,70,70,0,10,15,10,0,0,10,45,0,0,0
One More Dance,d4vd,0,5,15,15,0,20,10,20,0,0,15,45,0,0,0
Where'd It Go Wrong,d4vd,0,10,20,30,0,0,10,25,0,0,0,0,0,0,0
I'd Rather Pretend,Bryant Barnes,0,5,25,25,0,10,10,10,0,0,0,45,0,0,0
Losing You,Bryant Barnes,0,20,10,30,0,10,10,10,0,0,0,10,0,0,0
Two Sides of Goodbye,Bryant Barnes,0,25,15,30,0,0,10,20,0,0,0,0,0,0,0
Want You All the time,Bryant Barnes,10,20,5,0,0,30,10,5,10,0,5,5,0,0,0
Is This Love to You,Bryant Barnes,10,20,10,0,0,30,10,10,5,0,0,5,0,0,0
Don't Want a Love Song,Bryant Barnes,10,15,5,10,0,20,15,10,5,0,5,5,0,0,0
All Life Long,Juice WRLD,10,20,15,20,0,5,10,10,5,5,0,0,0,0,0
Righteous,Juice WRLD,5,25,15,20,5,0,10,15,5,0,0,0,0,0,0
Man of the Year,Juice WRLD,20,20,15,15,10,0,5,10,5,0,0,0,0,0,0
Burn,Juice WRLD,0,30,10,30,0,0,10,10,0,10,0,0,0,0,0
Cigarettes,Juice WRLD,5,20,15,30,0,10,10,10,0,0,0,0,0,0,0
Realer N Realer,Juice WRLD,5,20,15,15,10,0,10,15,5,15,0,0,0,0,0
Maze,Juice WRLD,10,20,15,25,5,0,10,10,5,0,0,0,0,0,0
Sometimes,Juice WRLD,5,20,20,25,5,5,10,10,0,0,0,0,0,0,0
I'll Be Fine,Juice WRLD,10,30,55,50,10,0,50,15,10,0,0,0,0,0,0
Cavalier,Juice WRLD,10,20,15,20,5,5,10,5,5,0,0,5,0,0,0
Die Trying,Drake,5,20,15,10,0,10,15,15,5,5,0,10,0,0,0
Never Recover,Drake,10,10,20,0,15,0,5,10,15,15,0,10,0,0,0
Sideways,Drake,10,20,15,5,10,5,15,10,5,0,0,5,0,0,0
Doing It Wrong,Drake,0,20,20,25,0,15,15,20,0,0,0,5,0,0,0
Trust Issues,Drake,5,20,30,15,0,10,15,5,0,0,0,0,0,0,0
The Motion,Drake,10,25,20,15,0,5,10,10,5,0,0,0,0,0,0
Trophies,Drake,20,15,10,0,20,0,5,10,20,0,0,0,0,0,0
You're Mines Still,Drake,10,20,20,10,0,15,15,10,0,0,0,10,0,0,0
Circadian Rhythm,Drake,10,20,15,5,10,10,15,10,5,0,0,0,0,0,0
Chicago Freestyle,Drake,0,20,20,10,0,10,20,20,0,10,0,10,0,0,0
Virginia Beach,Drake,10,20,15,0,5,10,15,10,5,0,5,5,0,0,0
8am in Charlotte,Drake,0,30,20,10,0,0,20,20,0,0,0,20,0,0,0
6pm in New York,Drake,0,25,30,0,0,0,20,25,0,0,0,0,0,0,0
Fear,Drake,0,30,20,10,0,0,15,20,0,5,0,0,0,0,0
The Motto,Drake,20,15,15,0,20,0,10,5,15,0,0,0,0,0,0
Energy,Drake,10,20,15,0,15,0,5,10,20,5,0,0,0,0,0
The Language,Drake,10,20,15,0,15,0,10,10,10,10,0,10,0,0,0
9,Drake,5,20,25,10,5,0,15,10,5,0,0,5,0,0,0
Teenage Fever,Drake,5,20,25,10,0,20,15,5,0,0,0,20,0,0,0
Greece,Drake,10,20,20,0,10,5,15,5,5,5,0,5,0,0,0
Cameras/ Good Ones Go Interlude,Drake,5,20,25,15,0,10,15,5,0,0,0,5,0,0,0
5AM in Toronto,Drake,5,30,30,0,5,0,10,10,5,0,0,5,0,0,0
The Ride,Drake,5,15,20,10,0,5,20,15,5,0,0,5,0,0,0
Greedy,Drake,10,15,15,0,5,5,10,10,10,10,0,10,0,0,0
Jungle,Drake,5,20,30,15,0,10,15,5,0,0,0,0,0,0,0
Fair Trade,Drake,10,20,30,5,0,0,15,10,5,5,0,0,0,0,0
Brand New,Drake,10,20,20,10,0,20,10,10,0,0,0,10,0,0,0
Last Heartbreak Song,Giveon,5,20,15,20,0,15,10,10,0,0,0,5,0,0,0
Lost Me,Giveon,5,25,20,20,0,15,10,5,0,0,0,100,0,0,0
Bleeding,Giveon,0,20,20,30,0,10,10,10,0,0,0,10,0,0,0
Scarred,Giveon,0,20,20,20,0,15,10,15,0,0,0,20,0,0,0
Make You Mine,Giveon,10,20,15,5,0,20,15,10,0,0,0,5,0,0,0
Swimming Pools,Kendrick Lamar,10,20,15,10,10,0,15,10,10,0,0,10,0,0,0
Mona Lisa,Kendrick Lamar,10,30,20,0,10,0,10,10,10,0,0,0,0,0,0
wacced out murals,Kendrick Lamar,10,25,15,0,10,0,10,15,10,10,0,5,0,0,0
reincarnated,Kendrick Lamar,10,25,15,0,10,0,15,15,10,0,0,10,0,0,0
XXX.,Kendrick Lamar,5,25,10,10,10,0,10,15,10,5,0,5,0,0,5
Backstreets,Don Toliver,10,15,20,0,10,0,15,10,10,10,0,10,0,0,0
Purple Rain,Don Toliver,10,20,15,10,0,10,15,10,10,0,0,10,0,0,0
Temporary,Don Toliver,10,15,20,5,10,5,10,5,10,5,0,5,0,0,0
No Comments,Don Toliver,15,10,20,0,15,0,10,5,15,10,0,5,0,0,5
Backend,Don Toliver,10,15,15,0,10,0,15,5,10,15,0,5,0,0,0
Heaven or Hell,Don Toliver,10,15,20,0,10,0,15,10,10,15,0,5,0,0,0
2AM,Don Toliver,5,10,30,5,10,5,10,5,10,5,0,5,0,0,0
"Company, Pt. 2",Don Toliver,10,15,20,0,10,5,15,10,10,10,0,5,0,0,0
Diva,Don Toliver,10,20,20,0,10,0,10,10,10,10,0,0,0,0,0
Kryptonite,Don Toliver,10,20,15,0,10,0,15,10,10,10,0,10,0,0,0
I can't let go,Don Toliver,10,20,15,0,10,0,15,10,10,10,0,10,0,0,0
Saturn,SZA,0,20,20,15,0,10,20,15,0,0,0,20,0,0,0
Nobody Gets Me,SZA,10,20,15,15,0,10,15,10,5,0,0,10,0,0,0
Another Life,SZA,5,20,15,10,0,10,20,10,5,0,0,5,0,0,0
My Turn,SZA,10,20,15,10,0,10,15,10,5,0,0,15,0,0,0
Snooze,SZA,5,20,15,10,0,10,20,10,5,0,0,5,0,0,0
